Building,Utility,Unit,Meter no.,Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00
Building 3,Gas,KWh,Meter 1,09/03/2013,87.164,65.373,28.017,28.017,28.017,28.017,28.017,34.243,28.017,28.017,28.017,28.017,24.904,31.13,37.356,28.017,28.017,28.017,28.017,31.13,24.904,34.243,28.017,31.13,24.904,28.017,28.017,12.452,52.921,28.017,28.017,3.113,24.904,56.034,28.017,34.243,6.226,21.791,59.147,18.678,9.339,46.695,46.695,28.017,28.017,24.904,18.678,43.582
Building 3,Gas,KWh,Meter 1,10/03/2013,28.017,34.243,28.017,28.017,59.147,28.017,28.017,28.017,40.469,28.017,31.13,49.808,34.243,28.017,18.678,52.921,28.017,31.13,43.582,43.582,31.13,37.356,28.017,28.017,24.904,62.26,31.13,31.13,37.356,34.243,46.695,6.226,59.147,28.017,43.582,52.921,31.13,31.13,49.808,37.356,87.164,77.825,68.486,52.921,56.034,74.712,71.599,71.599
Building 3,Gas,KWh,Meter 1,11/03/2013,77.825,52.921,133.859,168.102,102.729,96.503,230.362,124.52,133.859,155.65,121.407,127.633,158.763,127.633,124.52,158.763,140.085,99.616,158.763,90.277,143.198,80.938,112.068,43.582,84.051,87.164,121.407,56.034,112.068,62.26,52.921,40.469,62.26,65.373,52.921,130.746,46.695,46.695,0,77.825,40.469,65.373,31.13,34.243,65.373,31.13,49.808,52.921
Building 3,Gas,KWh,Meter 1,12/03/2013,34.243,77.825,121.407,93.39,93.39,93.39,87.164,87.164,158.763,121.407,140.085,105.842,118.294,161.876,158.763,164.989,115.181,158.763,115.181,140.085,90.277,108.955,74.712,74.712,52.921,84.051,99.616,74.712,77.825,65.373,31.13,68.486,40.469,59.147,40.469,28.017,0,68.486,0,0,0,6.226,0,0,0,0,0,9.339
Building 3,Gas,KWh,Meter 1,13/03/2013,0,0,115.181,49.808,52.921,43.582,59.147,108.955,90.277,118.294,127.633,118.294,118.294,136.972,124.52,102.729,84.051,96.503,99.616,62.26,71.599,56.034,40.469,74.712,37.356,31.13,62.26,71.599,28.017,43.582,0,49.808,0,80.938,0,6.226,0,0,0,0,0,9.339,0,0,0,6.226,112.068,74.712
Building 3,Gas,KWh,Meter 1,14/03/2013,37.356,62.26,31.13,31.13,59.147,37.356,115.181,93.39,84.051,140.085,140.085,121.407,96.503,161.876,115.181,124.52,74.712,121.407,102.729,49.808,77.825,31.13,56.034,15.565,18.678,31.13,65.373,0,0,6.226,0,0,74.712,0,6.226,0,0,0,0,0,9.339,0,0,0,0,0,6.226,0
Building 3,Gas,KWh,Meter 1,15/03/2013,0,0,6.226,133.859,71.599,34.243,65.373,31.13,40.469,99.616,168.102,143.198,118.294,149.424,115.181,136.972,124.52,77.825,90.277,87.164,96.503,65.373,40.469,80.938,31.13,68.486,28.017,43.582,31.13,0,43.582,31.13,59.147,0,6.226,40.469,0,0,0,3.113,3.113,0,0,0,0,6.226,0,140.085
Building 3,Gas,KWh,Meter 1,16/03/2013,71.599,40.469,52.921,37.356,56.034,28.017,31.13,56.034,28.017,37.356,28.017,28.017,59.147,28.017,28.017,34.243,43.582,43.582,28.017,28.017,28.017,34.243,28.017,59.147,28.017,28.017,28.017,34.243,28.017,34.243,28.017,28.017,28.017,37.356,56.034,28.017,28.017,28.017,43.582,52.921,28.017,28.017,28.017,59.147,31.13,31.13,31.13,28.017
Building 3,Gas,KWh,Meter 1,17/03/2013,46.695,46.695,31.13,31.13,37.356,43.582,46.695,28.017,31.13,28.017,40.469,43.582,31.13,43.582,28.017,31.13,49.808,34.243,34.243,37.356,28.017,28.017,31.13,34.243,59.147,34.243,28.017,28.017,28.017,28.017,37.356,28.017,28.017,28.017,28.017,28.017,37.356,40.469,28.017,31.13,49.808,28.017,31.13,34.243,34.243,59.147,62.26,52.921
Building 3,Gas,KWh,Meter 1,18/03/2013,68.486,65.373,46.695,65.373,34.243,136.972,230.362,108.955,152.537,108.955,124.52,124.52,87.164,152.537,112.068,102.729,127.633,90.277,77.825,77.825,34.243,28.017,28.017,28.017,31.13,34.243,31.13,28.017,46.695,6.226,37.356,28.017,28.017,68.486,31.13,37.356,15.565,0,0,0,0,3.113,6.226,0,0,0,0,0
Building 3,Gas,KWh,Meter 1,19/03/2013,6.226,0,0,0,80.938,68.486,56.034,52.921,164.989,168.102,105.842,96.503,102.729,158.763,105.842,143.198,102.729,74.712,99.616,84.051,34.243,28.017,28.017,24.904,37.356,43.582,37.356,31.13,34.243,6.226,62.26,28.017,46.695,62.26,68.486,34.243,0,0,0,0,0,6.226,0,0,0,0,0,6.226
Building 3,Gas,KWh,Meter 1,20/03/2013,3.113,0,0,0,0,0,6.226,74.712,56.034,174.328,164.989,108.955,168.102,136.972,105.842,90.277,102.729,112.068,62.26,68.486,68.486,34.243,28.017,34.243,31.13,31.13,65.373,28.017,34.243,31.13,0,31.13,28.017,6.226,37.356,31.13,0,0,0,3.113,3.113,0,0,0,0,3.113,6.226,0
Building 3,Gas,KWh,Meter 1,21/03/2013,0,0,0,0,6.226,52.921,71.599,71.599,65.373,115.181,168.102,130.746,102.729,155.65,77.825,99.616,130.746,80.938,74.712,80.938,84.051,65.373,59.147,34.243,68.486,34.243,87.164,87.164,56.034,28.017,34.243,31.13,68.486,43.582,0,0,68.486,68.486,31.13,0,0,0,9.339,0,0,0,0,0
Building 3,Gas,KWh,Meter 1,22/03/2013,6.226,0,0,59.147,77.825,74.712,74.712,31.13,127.633,93.39,168.102,136.972,124.52,155.65,105.842,127.633,108.955,143.198,99.616,105.842,112.068,59.147,84.051,87.164,52.921,71.599,37.356,34.243,0,40.469,34.243,96.503,31.13,59.147,62.26,12.452,3.113,37.356,28.017,0,0,0,9.339,0,0,0,80.938,84.051
Building 3,Gas,KWh,Meter 1,23/03/2013,68.486,34.243,59.147,31.13,43.582,46.695,28.017,62.26,34.243,31.13,52.921,34.243,31.13,49.808,43.582,28.017,31.13,59.147,31.13,28.017,34.243,31.13,65.373,31.13,28.017,52.921,34.243,40.469,28.017,52.921,37.356,28.017,28.017,34.243,65.373,28.017,31.13,28.017,37.356,56.034,34.243,62.26,28.017,31.13,28.017,62.26,31.13,37.356
Building 3,Gas,KWh,Meter 1,24/03/2013,59.147,28.017,34.243,31.13,62.26,31.13,34.243,31.13,59.147,31.13,28.017,62.26,37.356,43.582,46.695,34.243,59.147,28.017,31.13,34.243,65.373,31.13,49.808,40.469,28.017,37.356,59.147,37.356,31.13,62.26,28.017,52.921,90.277,71.599,71.599,71.599,59.147,46.695,74.712,68.486,43.582,62.26,71.599,68.486,71.599,37.356,65.373,74.712
Building 3,Gas,KWh,Meter 1,25/03/2013,52.921,155.65,121.407,127.633,186.78,130.746,164.989,124.52,130.746,168.102,96.503,155.65,112.068,136.972,84.051,136.972,112.068,143.198,108.955,124.52,102.729,124.52,105.842,74.712,93.39,87.164,96.503,105.842,43.582,77.825,49.808,46.695,31.13,68.486,68.486,77.825,34.243,59.147,0,0,0,0,0,6.226,3.113,0,77.825,74.712
Building 3,Gas,KWh,Meter 1,26/03/2013,40.469,71.599,34.243,65.373,31.13,87.164,108.955,90.277,93.39,164.989,108.955,127.633,124.52,158.763,149.424,115.181,140.085,112.068,118.294,112.068,90.277,87.164,90.277,62.26,52.921,68.486,99.616,71.599,37.356,31.13,68.486,65.373,28.017,34.243,37.356,6.226,68.486,71.599,0,0,0,6.226,0,0,0,0,0,105.842
Building 3,Gas,KWh,Meter 1,27/03/2013,65.373,74.712,34.243,40.469,52.921,31.13,62.26,108.955,93.39,161.876,112.068,112.068,155.65,164.989,99.616,152.537,96.503,124.52,96.503,80.938,105.842,52.921,56.034,90.277,77.825,49.808,65.373,37.356,0,37.356,84.051,90.277,28.017,77.825,37.356,87.164,12.452,0,0,0,0,0,9.339,0,18.678,68.486,77.825,43.582
Building 3,Gas,KWh,Meter 1,28/03/2013,62.26,31.13,65.373,31.13,65.373,34.243,121.407,93.39,90.277,155.65,108.955,115.181,124.52,136.972,140.085,96.503,112.068,112.068,130.746,127.633,71.599,77.825,77.825,31.13,71.599,34.243,40.469,0,84.051,0,40.469,59.147,28.017,0,0,59.147,9.339,0,0,0,0,0,9.339,0,0,0,0,0
Building 3,Gas,KWh,Meter 1,29/03/2013,6.226,0,0,0,0,0,6.226,0,0,0,0,0,9.339,0,0,0,0,0,6.226,0,0,0,0,0,6.226,0,0,0,0,0,9.339,0,0,0,0,0,6.226,0,0,0,0,3.113,6.226,0,0,0,0,6.226
