"","X","ppt","dv","qua","dip","dv_dp"
"1",1,"0",0.57,"0","0",1.0569671401308
"2",2,"0",0.69,"0","1",1.45736936026813
"3",3,"0",0.28,"0","2",0.113238833160396
"4",4,"0",0.34,"1","0",0.857992774935505
"5",5,"0",0.225,"1","1",0.458083791396978
"6",6,"0",0.23,"1","2",0.477356581476678
"7",7,"0",0.24,"2","0",0.767435218303211
"8",8,"0",0.19,"2","1",0.572159389433958
"9",9,"0",0.15,"2","2",0.39218357819541
"10",10,"0",0.16,"3","0",0.603225628052592
"11",11,"0",0.13,"3","1",0.455395429544107
"12",12,"0",0.05,"3","2",-0.12330762559932
"13",13,"1",0.75,"0","0",1.68217809748591
"14",14,"1",0.6,"0","1",1.15323039978121
"15",15,"1",0.42,"0","2",0.585460790905747
"16",16,"1",0.44,"1","0",1.16435731658149
"17",17,"1",0.5,"1","1",1.34183795682336
"18",18,"1",0.19,"1","2",0.315767515888101
"19",19,"1",0.46,"2","0",1.46084610780339
"20",20,"1",0.33,"2","1",1.07150875267386
"21",21,"1",0.21,"2","2",0.653455826217633
"22",22,"1",0.26,"3","0",0.997897647174345
"23",23,"1",0.31,"3","1",1.16426305212914
"24",24,"1",0.08,"3","2",0.14389194583569
"25",25,"2",0.83,"0","0",2.03559214634289
"26",26,"2",0.77,"0","1",1.76335458888819
"27",27,"2",0.52,"0","2",0.899329823082931
"28",28,"2",0.58,"1","0",1.57991722173795
"29",29,"2",0.56,"1","1",1.51978026816529
"30",30,"2",0.38,"1","2",0.983175608868032
"31",31,"2",0.47,"2","0",1.48979002226649
"32",32,"2",0.39,"2","1",1.2554303065137
"33",33,"2",0.18,"2","2",0.529603160366806
"34",34,"2",0.35,"3","0",1.28918645587928
"35",35,"2",0.33,"3","1",1.22744564700229
"36",36,"2",0.18,"3","2",0.69196691454911
"37",37,"3",0.88,"0","0",2.31591234282272
"38",38,"3",0.76,"0","1",1.7222869514237
"39",39,"3",0.66,"0","2",1.35267372295218
"40",40,"3",0.66,"1","0",1.82916480108819
"41",41,"3",0.58,"1","1",1.57991722173795
"42",42,"3",0.28,"1","2",0.659050187594982
"43",43,"3",0.51,"2","0",1.60532480615269
"44",44,"3",0.36,"2","1",1.16474246202065
"45",45,"3",0.25,"2","2",0.803687094753141
"46",46,"3",0.27,"3","0",1.03230808396879
"47",47,"3",0.3,"3","1",1.13206379358699
"48",48,"3",0.19,"3","2",0.734038924711193
"49",49,"4",0.72,"0","0",1.56678110655185
"50",50,"4",0.68,"0","1",1.42200014425749
"51",51,"4",0.5875,"0","2",1.1129210789313
"52",52,"4",0.48,"1","0",1.28281029254259
"53",53,"4",0.37,"1","1",0.952296885982081
"54",54,"4",0.3,"1","2",0.727239666853845
"55",55,"4",0.38,"2","0",1.22543874262278
"56",56,"4",0.29,"2","1",0.941867890200165
"57",57,"4",0.11,"2","2",0.176881080250981
"58",58,"4",0.16,"3","0",0.603225628052592
"59",59,"4",0.2,"3","1",0.774799219658564
"60",60,"4",0.13,"3","2",0.455395429544107
"61",61,"5",0.84,"0","0",2.08664730747366
"62",62,"5",0.75,"0","1",1.68217809748591
"63",63,"5",0.42,"0","2",0.585460790905747
"64",64,"5",0.57,"1","0",1.54977648025249
"65",65,"5",0.49,"1","1",1.31232743084402
"66",66,"5",0.29,"1","2",0.693416924574276
"67",67,"5",0.43,"2","0",1.37356879368024
"68",68,"5",0.34,"2","1",1.10294581408116
"69",69,"5",0.28,"2","2",0.908217664158161
"70",70,"5",0.38,"3","0",1.37952619577193
"71",71,"5",0.31,"3","1",1.16426305212914
"72",72,"5",0.15,"3","2",0.556187241715285
"73",73,"6",0.78,"0","0",1.8054529019792
"74",74,"6",0.76,"0","1",1.7222869514237
"75",75,"6",0.64,"0","2",1.28491521238659
"76",76,"6",0.48,"1","0",1.28281029254259
"77",77,"6",0.5,"1","1",1.34183795682336
"78",78,"6",0.29,"1","2",0.693416924574276
"79",79,"6",0.38,"2","0",1.22543874262278
"80",80,"6",0.31,"2","1",1.00754964361469
"81",81,"6",0.18,"2","2",0.529603160366806
"82",82,"6",0.31,"3","0",1.16426305212914
"83",83,"6",0.35,"3","1",1.28918645587928
"84",84,"6",0.15,"3","2",0.556187241715285
"85",85,"7",0.95,"0","0",2.91623261060676
"86",86,"7",0.91,"0","1",2.52706856327305
"87",87,"7",0.75,"0","2",1.68217809748591
"88",88,"7",0.65,"1","0",1.79698077785222
"89",89,"7",0.61,"1","1",1.67145993913945
"90",90,"7",0.55,"1","2",1.48995102356696
"91",91,"7",0.42,"2","0",1.34426368676453
"92",92,"7",0.42,"2","1",1.34426368676453
"93",93,"7",0.22,"2","2",0.692426068352924
"94",94,"7",0.23,"3","0",0.89036796638428
"95",95,"7",0.27,"3","1",1.03230808396879
"96",96,"7",0.12,"3","2",0.400996494863389
"97",97,"8",0.39,"0","0",0.489275739696653
"98",98,"8",0.47,"0","1",0.742981575053059
"99",99,"8",0.25,"0","2",-1.53227734062323e-06
"100",100,"8",0.25,"1","0",0.552263877036228
"101",101,"8",0.29,"1","1",0.693416924574276
"102",102,"8",0.19,"1","2",0.315767515888101
"103",103,"8",0.17,"2","0",0.48553680844358
"104",104,"8",0.16,"2","1",0.439786280659202
"105",105,"8",0.1,"2","2",0.114634819999845
"106",106,"8",0.14,"3","0",0.507001872061663
"107",107,"8",0.15,"3","1",0.556187241715285
"108",108,"8",0.1,"3","2",0.281829684019369
"109",109,"9",0.66,"0","0",1.35267372295218
"110",110,"9",0.67,"0","1",1.38710715885146
"111",111,"9",0.44,"0","2",0.648792024860512
"112",112,"9",0.43,"1","0",1.13453232626336
"113",113,"9",0.6,"1","1",1.64070269286947
"114",114,"9",0.21,"1","2",0.398780613149999
"115",115,"9",0.27,"2","0",0.874017673830913
"116",116,"9",0.32,"2","1",1.03974045063552
"117",117,"9",0.13,"2","2",0.290216657327994
"118",118,"9",0.28,"3","0",1.06610076489175
"119",119,"9",0.24,"3","1",0.927019393506155
"120",120,"9",0.09,"3","2",0.21566339195042
"121",121,"10",0.75,"0","0",1.68217809748591
"122",122,"10",0.81,"0","1",1.93906413199082
"123",123,"10",0.52,"0","2",0.899329823082931
"124",124,"10",0.54,"1","0",1.46017500113322
"125",125,"10",0.47,"1","1",1.25328307661639
"126",126,"10",0.24,"1","2",0.515224817963278
"127",127,"10",0.39,"2","0",1.2554303065137
"128",128,"10",0.28,"2","1",0.908217664158161
"129",129,"10",0.17,"2","2",0.48553680844358
"130",130,"10",0.24,"3","0",0.927019393506155
"131",131,"10",0.27,"3","1",1.03230808396879
"132",132,"10",0.17,"3","2",0.648398607819194
"133",133,"11",0.81,"0","0",1.93906413199082
"134",134,"11",0.82,"0","1",1.98646090264053
"135",135,"11",0.55,"0","2",0.99359842983998
"136",136,"11",0.41,"1","0",1.07450552095392
"137",137,"11",0.44,"1","1",1.16435731658149
"138",138,"11",0.22,"1","2",0.438571516516118
"139",139,"11",0.23,"2","0",0.730366892153884
"140",140,"11",0.22,"2","1",0.692426068352924
"141",141,"11",0.17,"2","2",0.48553680844358
"142",142,"11",0.33,"3","0",1.22744564700229
"143",143,"11",0.18,"3","1",0.69196691454911
"144",144,"11",0.08,"3","2",0.14389194583569
"145",145,"12",0.6,"0","0",1.15323039978121
"146",146,"12",0.56,"0","1",1.0251850957718
"147",147,"12",0.33,"0","2",0.290114793470509
"148",148,"12",0.37,"1","0",0.952296885982081
"149",149,"12",0.43,"1","1",1.13453232626336
"150",150,"12",0.18,"1","2",0.272258512652859
"151",151,"12",0.27,"2","0",0.874017673830913
"152",152,"12",0.34,"2","1",1.10294581408116
"153",153,"12",0.12,"2","2",0.23516911808561
"154",154,"12",0.18,"3","0",0.69196691454911
"155",155,"12",0.22,"3","1",0.852845909493879
"156",156,"12",0.07,"3","2",0.0650411557356053
